"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ZEEL","EQ","20-Apr-2018","        592.90","        590.00","        592.95","        585.20","        588.60","        587.70","        588.12","     883269","           519466477.60","      16931","     588252","         66.60"
"ZEEL","P2","20-Apr-2018","          7.60","          7.60","          7.65","          7.60","          7.60","          7.60","          7.61","       2222","               16907.20","          9","       2222","        100.00"
"ZEEL","EQ","23-Apr-2018","        587.70","        589.35","        602.00","        588.00","        592.80","        595.25","        597.28","    1535205","           916949032.70","      43356","     443124","         28.86"
"ZEEL","P2","23-Apr-2018","          7.60","          7.60","          7.70","          7.60","          7.70","          7.70","          7.66","        919","                7035.80","         14","        876","         95.32"
"ZEEL","EQ","24-Apr-2018","        595.25","        597.80","        601.75","        588.00","        588.70","        588.70","        593.12","    1354271","           803242437.75","      32278","     629127","         46.46"
"ZEEL","P2","24-Apr-2018","          7.70","          7.65","          7.65","          7.60","          7.65","          7.65","          7.65","     303114","             2318671.65","         25","     303114","        100.00"
"ZEEL","EQ","25-Apr-2018","        588.70","        587.95","        587.95","        572.35","        585.00","        585.35","        580.94","    1336463","           776407497.20","      35890","     565937","         42.35"
"ZEEL","P2","25-Apr-2018","          7.65","          7.60","          7.65","          7.60","          7.60","          7.60","          7.65","     201181","             1538982.10","         17","     201181","        100.00"
"ZEEL","EQ","26-Apr-2018","        585.35","        585.35","        590.35","        578.60","        581.25","        581.15","        584.67","    1151834","           673440898.60","      21512","     317471","         27.56"
"ZEEL","P2","26-Apr-2018","          7.60","          7.60","          7.60","          7.60","          7.60","          7.60","          7.60","       2245","               17062.00","          7","       2245","        100.00"
"ZEEL","EQ","27-Apr-2018","        581.15","        584.00","        593.45","        580.40","        592.00","        591.65","        587.48","     552782","           324746612.70","      13369","     166122","         30.05"
"ZEEL","P2","27-Apr-2018","          7.60","          7.60","          7.65","          7.55","          7.60","          7.60","          7.60","      96579","              734038.65","         22","      96579","        100.00"
"ZEEL","EQ","30-Apr-2018","        591.65","        585.10","        599.40","        585.10","        590.90","        588.05","        592.57","     840452","           498030282.10","      18861","     287579","         34.22"
"ZEEL","P2","30-Apr-2018","          7.60","          7.60","          7.70","          7.50","          7.70","          7.70","          7.68","    4212181","            32362986.65","         60","    4211926","         99.99"
"ZEEL","EQ","02-May-2018","        588.05","        593.90","        609.75","        591.55","        600.00","        596.30","        602.70","    2543082","          1532703021.85","      41352","     724165","         28.48"
"ZEEL","P2","02-May-2018","          7.70","          7.60","          7.75","          7.60","          7.65","          7.65","          7.65","    1030785","             7885359.25","         18","     867530","         84.16"
"ZEEL","EQ","03-May-2018","        596.30","        595.50","        608.55","        588.90","        594.00","        593.80","        598.64","    1581619","           946820242.80","      37970","     419655","         26.53"
"ZEEL","P2","03-May-2018","          7.65","          7.60","          7.70","          7.60","          7.60","          7.60","          7.70","     415352","             3197443.85","         17","     402202","         96.83"
"ZEEL","EQ","04-May-2018","        593.80","        597.95","        599.85","        585.00","        586.00","        586.65","        589.33","     603439","           355626037.00","      13302","     226060","         37.46"
"ZEEL","P2","04-May-2018","          7.60","          7.60","          7.70","          7.60","          7.70","          7.70","          7.70","     265829","             2045756.20","         16","     240829","         90.60"
"ZEEL","EQ","07-May-2018","        586.65","        594.40","        603.40","        581.55","        599.95","        599.85","        593.87","     963603","           572252224.60","      24930","     290280","         30.12"
"ZEEL","P2","07-May-2018","          7.70","          7.70","          7.70","          7.60","          7.60","          7.60","          7.60","       1823","               13861.70","         16","       1823","        100.00"
"ZEEL","EQ","08-May-2018","        599.85","        602.90","        602.90","        588.65","        592.80","        594.55","        594.03","    1146711","           681184379.65","      29215","     586030","         51.11"
"ZEEL","P2","08-May-2018","          7.60","          7.60","          7.70","          7.60","          7.60","          7.60","          7.60","      21369","              162409.40","         10","      21369","        100.00"
"ZEEL","EQ","09-May-2018","        594.55","        593.10","        595.55","        589.05","        592.70","        591.45","        591.94","     908387","           537712186.65","      24432","     509485","         56.09"
"ZEEL","P2","09-May-2018","          7.60","          7.60","          7.65","          7.60","          7.60","          7.60","          7.65","     128701","              984533.60","         22","     128701","        100.00"
"ZEEL","EQ","10-May-2018","        591.45","        592.80","        604.90","        585.60","        587.00","        588.40","        597.36","    3059687","          1827744156.00","      52280","    1095662","         35.81"
"ZEEL","P2","10-May-2018","          7.60","          7.60","          7.65","          7.60","          7.60","          7.60","          7.65","      55152","              421905.20","          7","      55152","        100.00"
"ZEEL","EQ","11-May-2018","        588.40","        584.90","        599.00","        583.50","        592.15","        592.80","        591.28","    1891104","          1118166622.80","      30425","     535734","         28.33"
"ZEEL","P2","11-May-2018","          7.60","          7.60","          7.70","          7.60","          7.60","          7.60","          7.68","       5151","               39537.60","         11","       5151","        100.00"
"ZEEL","EQ","14-May-2018","        592.80","        591.00","        596.00","        571.00","        576.50","        577.65","        580.93","    1196118","           694861551.05","      29528","     331261","         27.69"
"ZEEL","P2","14-May-2018","          7.60","          7.60","          7.70","          7.60","          7.60","          7.60","          7.61","       4145","               31552.10","          8","       4145","        100.00"
"ZEEL","EQ","15-May-2018","        577.65","        578.00","        582.90","        566.65","        574.00","        572.65","        575.21","    1217139","           700104826.95","      45578","     550419","         45.22"
"ZEEL","P2","15-May-2018","          7.60","          7.60","          7.60","          7.60","          7.60","          7.60","          7.60","       5118","               38896.80","          5","       5118","        100.00"
"ZEEL","EQ","16-May-2018","        572.65","        570.00","        579.00","        566.60","        578.60","        575.75","        573.23","    1309330","           750550182.75","      30700","     610692","         46.64"
"ZEEL","P2","16-May-2018","          7.60","          7.60","          7.65","          7.60","          7.65","          7.65","          7.60","        731","                5557.10","         11","        715","         97.81"
"ZEEL","EQ","17-May-2018","        575.75","        580.00","        581.00","        568.05","        569.70","        570.95","        572.79","    1194524","           684208546.10","      38349","     622918","         52.15"
"ZEEL","P2","17-May-2018","          7.65","          7.60","          7.60","          7.60","          7.60","          7.60","          7.60","      50029","              380220.40","          3","      50029","        100.00"
"ZEEL","EQ","18-May-2018","        570.95","        571.00","        571.80","        561.75","        567.25","        567.60","        566.74","    1115516","           632210946.35","      44310","     627930","         56.29"
"ZEEL","P2","18-May-2018","          7.60","          7.60","          7.70","          7.60","          7.60","          7.60","          7.60","        783","                5954.40","         18","        777","         99.23"
"ZEEL","EQ","21-May-2018","        567.60","        568.00","        569.95","        551.00","        551.10","        554.10","        555.36","     976703","           542417945.25","      30522","     436679","         44.71"
"ZEEL","P2","21-May-2018","          7.60","          7.60","          7.60","          7.60","          7.60","          7.60","          7.60","        936","                7113.60","          7","        936","        100.00"
"ZEEL","EQ","22-May-2018","        554.10","        554.10","        567.15","        546.60","        566.00","        565.60","        557.78","    1134934","           633046533.30","      35156","     522601","         46.05"
"ZEEL","P2","22-May-2018","          7.60","          7.60","          7.65","          7.60","          7.60","          7.60","          7.60","      10623","               80734.85","          8","      10622","         99.99"
"ZEEL","EQ","23-May-2018","        565.60","        565.00","        566.80","        552.65","        554.05","        554.10","        555.44","     730959","           406005939.10","      25060","     356425","         48.76"
"ZEEL","P2","23-May-2018","          7.60","          7.60","          7.65","          7.60","          7.60","          7.60","          7.60","       2238","               17009.15","          5","       2238","        100.00"
"ZEEL","EQ","24-May-2018","        554.10","        556.80","        557.05","        550.20","        556.75","        555.50","        554.98","     761773","           422770198.05","      36901","     405724","         53.26"
"ZEEL","P2","24-May-2018","          7.60","          7.60","          7.65","          7.60","          7.65","          7.65","          7.60","        484","                3678.90","          3","        484","        100.00"
"ZEEL","EQ","25-May-2018","        555.50","        556.60","        568.00","        551.60","        564.00","        562.75","        558.56","    1586328","           886052610.60","     105021","     942549","         59.42"
"ZEEL","P2","25-May-2018","          7.65","          7.60","          7.60","          7.60","          7.60","          7.60","          7.60","       1543","               11726.80","         13","       1543","        100.00"
"ZEEL","EQ","28-May-2018","        562.75","        563.75","        578.25","        553.75","        575.95","        573.20","        567.82","    2004869","          1138411868.25","      74591","    1142041","         56.96"
"ZEEL","P2","28-May-2018","          7.60","          7.60","          7.65","          7.60","          7.60","          7.60","          7.60","       1812","               13776.20","          9","       1812","        100.00"
"ZEEL","EQ","29-May-2018","        573.20","        575.00","        576.70","        555.70","        560.05","        557.30","        565.23","    1012003","           572011395.65","      46632","     497536","         49.16"
"ZEEL","P2","29-May-2018","          7.60","          7.60","          7.60","          7.60","          7.60","          7.60","          7.60","       2808","               21340.80","         11","       2808","        100.00"
"ZEEL","EQ","30-May-2018","        557.30","        560.00","        563.90","        553.30","        563.35","        557.45","        556.84","    1626422","           905659467.80","      71617","    1016116","         62.48"
"ZEEL","P2","30-May-2018","          7.60","          7.60","          7.75","          7.60","          7.60","          7.60","          7.75","     101123","              783563.35","          8","     101123","        100.00"
"ZEEL","EQ","31-May-2018","        557.45","        561.80","        565.00","        552.20","        559.20","        556.05","        556.11","    5696521","          3167880649.45","     104633","    4664662","         81.89"
"ZEEL","P2","31-May-2018","          7.60","          7.60","          7.90","          7.60","          7.85","          7.80","          7.76","   10080270","            78268069.95","         41","   10024666","         99.45"
"ZEEL","EQ","01-Jun-2018","        556.05","        555.00","        565.00","        555.00","        555.80","        558.30","        560.50","     842901","           472445215.50","      22169","     412975","         48.99"
"ZEEL","P2","01-Jun-2018","          7.80","          7.75","          7.75","          7.65","          7.65","          7.65","          7.65","       5498","               42065.30","          8","       5498","        100.00"
"ZEEL","EQ","04-Jun-2018","        558.30","        559.85","        567.25","        553.50","        560.10","        560.25","        561.01","    1328975","           745569697.15","      57612","     777545","         58.51"
"ZEEL","P2","04-Jun-2018","          7.65","          7.65","          7.70","          7.65","          7.70","          7.70","          7.68","     180218","             1383292.70","         13","      92479","         51.32"
"ZEEL","EQ","05-Jun-2018","        560.25","        556.60","        560.15","        538.70","        543.00","        544.35","        545.35","    2846864","          1552549660.55","      77928","    1599513","         56.19"
"ZEEL","P2","05-Jun-2018","          7.70","          7.90","          7.90","          7.65","          7.65","          7.65","          7.70","      61363","              472407.55","         14","      59594","         97.12"
"ZEEL","EQ","06-Jun-2018","        544.35","        540.50","        556.00","        533.50","        551.10","        550.95","        544.94","    3910943","          2131243234.20","      98977","    2549479","         65.19"
"ZEEL","P2","06-Jun-2018","          7.65","          7.60","          7.65","          7.60","          7.65","          7.65","          7.63","       1160","                8851.15","         13","       1160","        100.00"
"ZEEL","EQ","07-Jun-2018","        550.95","        550.50","        562.30","        546.85","        549.30","        549.25","        553.27","    1528491","           845673455.85","      49348","     801080","         52.41"
"ZEEL","P2","07-Jun-2018","          7.65","          7.65","          7.75","          7.65","          7.65","          7.65","          7.71","       2314","               17852.10","          6","       2314","        100.00"
"ZEEL","EQ","08-Jun-2018","        549.25","        545.10","        560.00","        545.00","        556.50","        557.35","        552.85","    1435606","           793667981.70","      32888","     834040","         58.10"
"ZEEL","P2","08-Jun-2018","          7.65","          7.75","          7.80","          7.65","          7.80","          7.80","          7.71","       2655","               20476.25","         17","       2655","        100.00"
"ZEEL","EQ","11-Jun-2018","        557.35","        558.00","        570.30","        553.30","        565.15","        567.15","        566.09","    2142949","          1213104239.75","      54370","    1297445","         60.54"
"ZEEL","P2","11-Jun-2018","          7.80","          7.80","          7.80","          7.65","          7.65","          7.65","          7.68","       2615","               20095.90","         20","       2044","         78.16"
"ZEEL","EQ","12-Jun-2018","        567.15","        568.00","        570.00","        563.25","        563.65","        565.20","        567.85","    1380864","           784117802.90","      39624","     950570","         68.84"
"ZEEL","P2","12-Jun-2018","          7.65","          7.65","          7.70","          7.65","          7.70","          7.70","          7.69","       3251","               24999.55","         12","       3250","         99.97"
"ZEEL","EQ","13-Jun-2018","        565.20","        565.10","        565.10","        555.00","        557.85","        557.10","        558.11","    1664214","           928822155.10","      63630","    1019015","         61.23"
"ZEEL","P2","13-Jun-2018","          7.70","          7.65","          7.70","          7.65","          7.70","          7.70","          7.66","       1448","               11088.75","         10","       1448","        100.00"
"ZEEL","EQ","14-Jun-2018","        557.10","        558.95","        559.80","        551.65","        554.50","        554.20","        553.97","    1020807","           565499097.85","      34113","     476488","         46.68"
"ZEEL","P2","14-Jun-2018","          7.70","          7.65","          7.75","          7.65","          7.70","          7.70","          7.65","      60442","              462404.50","          9","      60332","         99.82"
"ZEEL","EQ","15-Jun-2018","        554.20","        556.00","        559.30","        551.20","        554.80","        555.00","        554.75","    1356388","           752462376.80","      44897","     827457","         61.00"
"ZEEL","P2","15-Jun-2018","          7.70","          7.65","          7.75","          7.65","          7.70","          7.70","          7.70","      31555","              242986.90","         13","      31030","         98.34"
"ZEEL","EQ","18-Jun-2018","        555.00","        555.35","        566.95","        554.00","        563.00","        561.20","        561.27","    1283641","           720471858.30","      39540","     564859","         44.00"
"ZEEL","P2","18-Jun-2018","          7.70","          7.70","          7.75","          7.70","          7.70","          7.70","          7.70","       1884","               14506.95","          7","       1884","        100.00"
"ZEEL","EQ","19-Jun-2018","        561.20","        560.00","        560.00","        552.75","        554.20","        554.50","        555.15","     802433","           445467599.45","      37620","     477925","         59.56"
"ZEEL","P2","19-Jun-2018","          7.70","          7.70","          7.70","          7.70","          7.70","          7.70","          7.70","      20042","              154323.40","          4","      20042","        100.00"
"ZEEL","EQ","20-Jun-2018","        554.50","        555.00","        566.85","        555.00","        560.85","        560.90","        562.95","    1526705","           859460506.40","      41270","     544754","         35.68"
"ZEEL","P2","20-Jun-2018","          7.70","          7.65","          7.75","          7.65","          7.75","          7.75","          7.70","       6133","               47195.50","         14","       5145","         83.89"
"ZEEL","EQ","21-Jun-2018","        560.90","        557.00","        575.00","        556.50","        563.15","        563.45","        568.50","    3124614","          1776343443.95","     103147","    1643248","         52.59"
"ZEEL","P2","21-Jun-2018","          7.75","          7.75","          7.75","          7.70","          7.70","          7.70","          7.70","       3028","               23321.30","          5","       2915","         96.27"
"ZEEL","EQ","22-Jun-2018","        563.45","        566.80","        569.95","        562.70","        566.70","        565.75","        566.51","    1174956","           665625039.25","      52865","     500699","         42.61"
"ZEEL","P2","22-Jun-2018","          7.70","          7.65","          7.75","          7.65","          7.65","          7.65","          7.66","       1411","               10806.30","          7","       1268","         89.87"
"ZEEL","EQ","25-Jun-2018","        565.75","        567.00","        569.80","        557.00","        557.00","        559.05","        562.12","     811954","           456416710.85","      41758","     362186","         44.61"
"ZEEL","P2","25-Jun-2018","          7.65","          7.65","          7.70","          7.65","          7.70","          7.70","          7.68","        892","                6853.95","         29","        892","        100.00"
"ZEEL","EQ","26-Jun-2018","        559.05","        556.50","        568.90","        554.40","        558.50","        562.00","        563.86","    1210014","           682277367.60","      40813","     445050","         36.78"
"ZEEL","P2","26-Jun-2018","          7.70","          7.70","          7.80","          7.70","          7.70","          7.70","          7.72","      41060","              316837.10","         15","      41060","        100.00"
"ZEEL","EQ","27-Jun-2018","        562.00","        560.25","        562.40","        539.40","        545.75","        544.35","        549.14","    2043841","          1122363338.05","      58781","    1058251","         51.78"
"ZEEL","P2","27-Jun-2018","          7.70","          7.70","          7.70","          7.70","          7.70","          7.70","          7.70","       1635","               12589.50","          8","       1635","        100.00"
"ZEEL","EQ","28-Jun-2018","        544.35","        545.10","        553.45","        535.70","        539.00","        539.00","        544.47","    1806489","           983582987.55","      44698","     611600","         33.86"
"ZEEL","P2","28-Jun-2018","          7.70","          7.70","          7.70","          7.70","          7.70","          7.70","          7.70","       1696","               13059.20","          7","       1696","        100.00"
"ZEEL","EQ","29-Jun-2018","        539.00","        541.65","        547.45","        534.15","        544.00","        543.95","        540.65","    1814420","           980961412.85","      82085","    1064315","         58.66"
"ZEEL","P2","29-Jun-2018","          7.70","          7.70","          7.80","          7.70","          7.75","          7.75","          7.75","     102685","              795675.55","          9","     102678","         99.99"
"ZEEL","EQ","02-Jul-2018","        543.95","        544.05","        551.75","        532.45","        535.70","        539.65","        538.81","    1147657","           618369730.40","      35650","     528754","         46.07"
"ZEEL","P2","02-Jul-2018","          7.75","          7.65","          7.75","          7.65","          7.65","          7.65","          7.69","      51252","              394378.10","         25","      46003","         89.76"
"ZEEL","EQ","03-Jul-2018","        539.65","        539.55","        546.15","        532.15","        544.40","        544.80","        540.80","    1223253","           661535013.05","      56519","     673568","         55.06"
"ZEEL","P2","03-Jul-2018","          7.65","          7.70","          7.75","          7.70","          7.75","          7.75","          7.75","      72148","              559039.60","          8","      72148","        100.00"
"ZEEL","EQ","04-Jul-2018","        544.80","        544.00","        546.20","        537.55","        543.00","        542.20","        541.23","     592033","           320426111.45","      18263","     285851","         48.28"
"ZEEL","P2","04-Jul-2018","          7.75","          7.80","          7.80","          7.70","          7.70","          7.70","          7.70","        821","                6322.15","          7","        821","        100.00"
"ZEEL","EQ","05-Jul-2018","        542.20","        543.00","        553.60","        536.65","        548.00","        551.80","        546.32","    1982070","          1082849984.50","      43620","    1206740","         60.88"
"ZEEL","P2","05-Jul-2018","          7.70","          7.70","          7.70","          7.70","          7.70","          7.70","          7.70","     211370","             1627549.00","         10","     211370","        100.00"
"ZEEL","EQ","06-Jul-2018","        551.80","        551.20","        551.20","        541.10","        544.25","        544.70","        543.91","    3569128","          1941291047.85","      50162","    2070641","         58.02"
